ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,COUNTRY,PRODUCTLINE,CUSTOMERNAME,REVENUE_PER_UNIT,ORDER_SIZE
10194,42,100.0,11,7290.36,2003-11-25,Shipped,4,11,2003,France,Classic Cars,"Saveley & Henriot, Co.",173.57999999999998,396
10206,47,100.0,6,9064.89,2003-12-05,Shipped,4,12,2003,Canada,Classic Cars,Canadian Gift Exchange Network,192.86999999999998,355
10215,35,100.0,3,6075.3,2004-01-29,Shipped,1,1,2004,Usa,Classic Cars,West Coast Collectables Co.,173.58,396
10228,29,100.0,2,6463.23,2004-03-10,Shipped,1,3,2004,Usa,Classic Cars,Cambridge Collectables Co.,222.86999999999998,194
10245,34,100.0,9,6120.34,2004-05-04,Shipped,2,5,2004,Usa,Classic Cars,Super Scale Inc.,180.01,320
10258,32,100.0,6,7680.64,2004-06-15,Shipped,2,6,2004,Japan,Classic Cars,"Tokyo Collectables, Ltd",240.02,200
10270,21,100.0,9,4905.39,2004-07-19,Shipped,3,7,2004,Australia,Classic Cars,Souveniers And Things Co.,233.59,374
10280,34,100.0,2,8014.82,2004-08-17,Shipped,3,8,2004,Italy,Classic Cars,Amica Models & Co.,235.73,551
10291,37,100.0,11,7136.19,2004-09-08,Shipped,3,9,2004,Sweden,Classic Cars,Scandinavian Gift Ideas,192.86999999999998,493
10304,47,100.0,6,10172.7,2004-10-11,Shipped,4,10,2004,France,Classic Cars,Auto Assoc. & Cie.,216.4404255319149,594
10312,48,100.0,3,11623.7,2004-10-21,Shipped,4,10,2004,Usa,Classic Cars,Mini Gifts Distributors Ltd.,242.1604166666667,601
10322,40,100.0,1,6000.4,2004-11-04,Shipped,4,11,2004,Usa,Classic Cars,Online Diecast Creations Co.,150.01,512
10333,26,100.0,3,3003.0,2004-11-18,Shipped,4,11,2004,Usa,Classic Cars,Mini Wheels Co.,115.5,261
10347,30,100.0,1,3944.7,2004-11-29,Shipped,4,11,2004,Australia,Classic Cars,"Australian Collectors, Co.",131.48999999999998,418
10357,32,100.0,10,5691.84,2004-12-10,Shipped,4,12,2004,Usa,Classic Cars,Mini Gifts Distributors Ltd.,177.87,391
10369,41,100.0,2,4514.92,2005-01-20,Shipped,1,1,2005,Usa,Classic Cars,Collectables For Less Inc.,110.12,293
10381,36,100.0,3,8254.8,2005-02-17,Shipped,1,2,2005,Usa,Classic Cars,Corporate Gift Ideas Co.,229.29999999999998,317
10391,24,100.0,4,2416.56,2005-03-09,Shipped,1,3,2005,Australia,Classic Cars,"Anna'S Decorations, Ltd",100.69,339
10411,23,100.0,9,4140.23,2005-05-01,Shipped,2,5,2005,Canada,Classic Cars,Quebec Home Shopping Network,180.01,285
10424,50,100.0,6,12001.0,2005-05-31,In Process,2,5,2005,Spain,Classic Cars,Euro Shopping Channel,240.02,269
10107,39,99.91,5,3896.49,2003-02-24,Shipped,1,2,2003,Usa,Motorcycles,Land Of Toys Inc.,99.91,229
10120,29,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Australia,Motorcycles,"Australian Collectors, Co.",96.34,525
10134,27,100.0,5,3307.77,2003-07-01,Shipped,3,7,2003,France,Motorcycles,Lyon Souveniers,122.51,227
10145,37,100.0,9,5192.95,2003-08-25,Shipped,3,8,2003,Usa,Motorcycles,Toys4Grownups.Com,140.35,563
10159,37,100.0,17,5016.83,2003-10-10,Shipped,4,10,2003,Usa,Motorcycles,Corporate Gift Ideas Co.,135.59,585
10168,27,100.0,4,3660.93,2003-10-28,Shipped,4,10,2003,Usa,Motorcycles,Technics Stores Inc.,135.59,642
10180,42,100.0,12,4695.6,2003-11-11,Shipped,4,11,2003,France,Motorcycles,Daedalus Designs Imports,111.80000000000001,458
10188,38,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Norway,Motorcycles,Herkku Gifts,96.34,301
10201,24,100.0,5,3025.92,2003-12-01,Shipped,4,12,2003,Usa,Motorcycles,Mini Wheels Co.,126.08,214
10210,23,100.0,2,3009.09,2004-01-12,Shipped,1,1,2004,Japan,Motorcycles,Osaka Souveniers Co.,130.83,577
10223,47,100.0,4,5422.39,2004-02-20,Shipped,1,2,2004,Australia,Motorcycles,"Australian Collectors, Co.",115.37,497
10236,22,100.0,1,2852.08,2004-04-03,Shipped,2,4,2004,Usa,Motorcycles,Motor Mint Distributors Inc.,129.64,81
10251,44,100.0,5,5756.52,2004-05-18,Shipped,2,5,2004,Usa,Motorcycles,Tekni Collectables Inc.,130.83,216
10263,40,100.0,5,4472.0,2004-06-28,Shipped,2,6,2004,Usa,Motorcycles,Gift Depot Inc.,111.8,411
10275,22,100.0,4,2904.44,2004-07-23,Shipped,3,7,2004,France,Motorcycles,La Rochelle Gifts,132.02,601
10285,47,100.0,9,6484.59,2004-08-27,Shipped,3,8,2004,Usa,Motorcycles,Marta'S Replicas Co.,137.97,474
10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,France,Motorcycles,Atelier Graphique,96.34,71
10308,34,100.0,2,4043.96,2004-10-15,Shipped,4,10,2004,Usa,Motorcycles,Mini Classics,118.94,544
10318,45,100.0,4,5566.5,2004-11-02,Shipped,4,11,2004,Usa,Motorcycles,Diecast Classics Inc.,123.7,372
10329,20,100.0,2,3176.0,2004-11-15,Shipped,4,11,2004,Usa,Motorcycles,Land Of Toys Inc.,158.8,532
10339,40,68.92,4,2756.8,2004-11-23,Shipped,4,11,2004,Japan,Motorcycles,"Tokyo Collectables, Ltd",68.92,614
10361,26,51.15,8,1329.9,2004-12-17,Shipped,4,12,2004,Australia,Motorcycles,Souveniers And Things Co.,51.150000000000006,429
10374,39,100.0,5,5288.01,2005-02-02,Shipped,1,2,2005,Australia,Motorcycles,"Australian Gift Network, Co",135.59,209
10388,50,44.51,5,2225.5,2005-03-03,Shipped,1,3,2005,Usa,Motorcycles,Fungiftideas.Com,44.51,315
10402,45,100.0,1,5833.8,2005-04-07,Shipped,2,4,2005,France,Motorcycles,Auto Canal Petit,129.64000000000001,159
10417,45,100.0,5,5887.35,2005-05-13,Disputed,2,5,2005,Spain,Motorcycles,Euro Shopping Channel,130.83,259
10107,27,100.0,4,6065.55,2003-02-24,Shipped,1,2,2003,Usa,Motorcycles,Land Of Toys Inc.,224.65,229
10120,46,100.0,2,9264.86,2003-04-29,Shipped,2,4,2003,Australia,Motorcycles,"Australian Collectors, Co.",201.41000000000003,525
10134,31,100.0,4,7023.98,2003-07-01,Shipped,3,7,2003,France,Motorcycles,Lyon Souveniers,226.57999999999998,227
10145,33,100.0,8,5176.38,2003-08-25,Shipped,3,8,2003,Usa,Motorcycles,Toys4Grownups.Com,156.86,563
10159,22,100.0,16,4132.7,2003-10-10,Shipped,4,10,2003,Usa,Motorcycles,Corporate Gift Ideas Co.,187.85,585
10168,20,100.0,3,4183.0,2003-10-28,Shipped,4,10,2003,Usa,Motorcycles,Technics Stores Inc.,209.15,642
10180,41,100.0,11,8892.9,2003-11-11,Shipped,4,11,2003,France,Motorcycles,Daedalus Designs Imports,216.89999999999998,458
10188,45,100.0,3,8714.7,2003-11-18,Shipped,4,11,2003,Norway,Motorcycles,Herkku Gifts,193.66000000000003,301
10201,49,100.0,4,8065.89,2003-12-01,Shipped,4,12,2003,Usa,Motorcycles,Mini Wheels Co.,164.61,214
10210,34,100.0,1,6123.4,2004-01-12,Shipped,1,1,2004,Japan,Motorcycles,Osaka Souveniers Co.,180.1,577
10223,49,100.0,3,9774.03,2004-02-20,Shipped,1,2,2004,Australia,Motorcycles,"Australian Collectors, Co.",199.47000000000003,497
10237,39,100.0,9,7023.9,2004-04-05,Shipped,2,4,2004,Usa,Motorcycles,Vitachrome Inc.,180.1,239
10251,43,100.0,4,7078.23,2004-05-18,Shipped,2,5,2004,Usa,Motorcycles,Tekni Collectables Inc.,164.60999999999999,216
10263,41,100.0,4,8336.94,2004-06-28,Shipped,2,6,2004,Usa,Motorcycles,Gift Depot Inc.,203.34,411
10275,36,100.0,3,6901.92,2004-07-23,Shipped,3,7,2004,France,Motorcycles,La Rochelle Gifts,191.72,601
10285,27,100.0,8,5438.07,2004-08-27,Shipped,3,8,2004,Usa,Motorcycles,Marta'S Replicas Co.,201.41,474
10299,29,100.0,11,6683.34,2004-09-30,Shipped,3,9,2004,Finland,Motorcycles,"Toys Of Finland, Co.",230.46,382
10308,20,100.0,1,4570.4,2004-10-15,Shipped,4,10,2004,Usa,Motorcycles,Mini Classics,228.51999999999998,544
10318,37,100.0,3,7667.14,2004-11-02,Shipped,4,11,2004,Usa,Motorcycles,Diecast Classics Inc.,207.22,372
10329,26,100.0,3,5868.2,2004-11-15,Shipped,4,11,2004,Usa,Motorcycles,Land Of Toys Inc.,225.7,532
10339,39,76.67,3,2990.13,2004-11-23,Shipped,4,11,2004,Japan,Motorcycles,"Tokyo Collectables, Ltd",76.67,614
10362,22,100.0,4,3664.1,2005-01-05,Shipped,1,1,2005,Usa,Motorcycles,Technics Stores Inc.,166.54999999999998,117
10374,22,100.0,1,3834.38,2005-02-02,Shipped,1,2,2005,Australia,Motorcycles,"Australian Gift Network, Co",174.29,209
10388,21,86.77,7,1822.17,2005-03-03,Shipped,1,3,2005,Usa,Motorcycles,Fungiftideas.Com,86.77000000000001,315
10403,66,100.0,9,11886.6,2005-04-08,Shipped,2,4,2005,Uk,Motorcycles,"Uk Collectables, Ltd.",180.1,371
10417,56,100.0,4,9218.16,2005-05-13,Disputed,2,5,2005,Spain,Motorcycles,Euro Shopping Channel,164.60999999999999,259
10105,50,100.0,2,7208.0,2003-02-11,Shipped,1,2,2003,Denmark,Classic Cars,Danish Wholesale Imports,144.16,545
10119,46,100.0,11,5004.8,2003-04-28,Shipped,2,4,2003,Austria,Classic Cars,Salzburg Collectables,108.8,442
10129,33,100.0,2,4398.24,2003-06-12,Shipped,2,6,2003,Uk,Classic Cars,"Stylish Desk Decors, Co.",133.28,349
10143,49,100.0,15,5597.76,2003-08-10,Shipped,3,8,2003,Usa,Classic Cars,Mini Creations Ltd.,114.24000000000001,524
10155,32,100.0,13,4526.08,2003-10-06,Shipped,4,10,2003,Finland,Classic Cars,"Toys Of Finland, Co.",141.44,454
10167,44,100.0,9,5924.16,2003-10-23,Cancelled,4,10,2003,Sweden,Classic Cars,Scandinavian Gift Ideas,134.64,550
10178,24,100.0,12,3492.48,2003-11-08,Shipped,4,11,2003,France,Classic Cars,Alpha Cognac,145.52,413
10186,26,100.0,9,3854.24,2003-11-14,Shipped,4,11,2003,Uk,Classic Cars,"Double Decker Gift Stores, Ltd",148.23999999999998,267
10197,45,100.0,6,5324.4,2003-11-26,Shipped,4,11,2003,Spain,Classic Cars,Enaco Distributors,118.32,503
10209,39,100.0,8,5197.92,2004-01-09,Shipped,1,1,2004,Usa,Classic Cars,"Men 'R' Us Retailers, Ltd.",133.28,269
10222,49,100.0,12,5997.6,2004-02-19,Shipped,1,2,2004,Usa,Classic Cars,Collectable Mini Designs Co.,122.4,717
10248,20,100.0,3,2910.4,2004-05-07,Cancelled,2,5,2004,Usa,Classic Cars,Land Of Toys Inc.,145.52,454
10261,27,100.0,1,3378.24,2004-06-17,Shipped,2,6,2004,Canada,Classic Cars,Quebec Home Shopping Network,125.11999999999999,287
10273,30,100.0,4,3508.8,2004-07-21,Shipped,3,7,2004,Belgium,Classic Cars,Petit Auto,116.96000000000001,518
10283,25,100.0,6,2992.0,2004-08-20,Shipped,3,8,2004,Canada,Classic Cars,"Royal Canadian Collectables, Ltd.",119.68,483
10295,24,100.0,1,3427.2,2004-09-10,Shipped,3,9,2004,Usa,Classic Cars,Gifts4Allages.Com,142.79999999999998,174
10307,22,100.0,9,2692.8,2004-10-14,Shipped,4,10,2004,Usa,Classic Cars,"Classic Gift Ideas, Inc",122.4,277
10316,33,100.0,17,4128.96,2004-11-01,Shipped,4,11,2004,Uk,Classic Cars,Giftsbymail.Co.Uk,125.12,623
10325,47,64.93,6,3051.71,2004-11-05,Shipped,4,11,2004,Norway,Classic Cars,Baane Mini Imports,64.93,329
10337,25,48.05,8,1201.25,2004-11-21,Shipped,4,11,2004,Usa,Classic Cars,Classic Legends Inc.,48.05,285
10350,26,75.47,5,1962.22,2004-12-02,Shipped,4,12,2004,Spain,Classic Cars,Euro Shopping Channel,75.47,554
10359,48,54.68,6,2624.64,2004-12-15,Shipped,4,12,2004,France,Classic Cars,Reims Collectables,54.68,290
10373,39,100.0,3,4046.25,2005-01-31,Shipped,1,1,2005,Finland,Classic Cars,"Oulu Toy Supplies, Inc.",103.75,605
10384,34,100.0,4,4846.7,2005-02-23,Shipped,1,2,2005,Usa,Classic Cars,Corporate Gift Ideas Co.,142.54999999999998,154
10395,32,100.0,2,3370.56,2005-03-17,Shipped,1,3,2005,France,Classic Cars,Lyon Souveniers,105.33,156
10400,64,100.0,9,9661.44,2005-04-01,Shipped,2,4,2005,Usa,Classic Cars,The Sharp Gifts Warehouse,150.96,356
10414,19,100.0,3,2764.88,2005-05-06,On Hold,2,5,2005,Usa,Classic Cars,Gifts4Allages.Com,145.52,506
10103,42,100.0,4,5398.26,2003-01-29,Shipped,1,1,2003,Norway,Classic Cars,Baane Mini Imports,128.53,541
10114,31,100.0,8,4305.28,2003-04-01,Shipped,2,4,2003,France,Classic Cars,"La Corne D'Abondance, Co.",138.88,351
10126,22,100.0,4,3347.74,2003-05-28,Shipped,2,5,2003,Spain,Classic Cars,"Corrida Auto Replicas, Ltd",152.17,617
10140,26,100.0,4,3188.12,2003-07-24,Shipped,3,7,2003,Usa,Classic Cars,Technics Stores Inc.,122.61999999999999,385
10150,20,100.0,1,3191.2,2003-09-19,Shipped,3,9,2003,Singapore,Classic Cars,"Dragon Souveniers, Ltd.",159.56,380
10164,21,100.0,2,3536.82,2003-10-21,Resolved,4,10,2003,Austria,Classic Cars,Mini Auto Werke,168.42000000000002,288
10175,33,100.0,9,5362.83,2003-11-06,Shipped,4,11,2003,Uk,Classic Cars,"Stylish Desk Decors, Co.",162.51,432
10183,28,100.0,1,3433.36,2003-11-13,Shipped,4,11,2003,Usa,Classic Cars,"Classic Gift Ideas, Inc",122.62,391
10194,26,100.0,4,4263.74,2003-11-25,Shipped,4,11,2003,France,Classic Cars,"Saveley & Henriot, Co.",163.98999999999998,396
10207,31,100.0,15,4076.19,2003-12-09,Shipped,4,12,2003,Usa,Classic Cars,Diecast Collectables,131.49,615
10217,48,100.0,4,7020.48,2004-02-04,Shipped,1,2,2004,Singapore,Classic Cars,Handji Gifts& Co,146.26,240
10229,50,100.0,9,6426.5,2004-03-11,Shipped,1,3,2004,Usa,Classic Cars,Mini Gifts Distributors Ltd.,128.53,476
10245,28,100.0,2,4591.72,2004-05-04,Shipped,2,5,2004,Usa,Classic Cars,Super Scale Inc.,163.99,320
10259,26,100.0,12,4033.38,2004-06-15,Shipped,2,6,2004,Singapore,Classic Cars,Handji Gifts& Co,155.13,454
10270,32,100.0,2,4302.08,2004-07-19,Shipped,3,7,2004,Australia,Classic Cars,Souveniers And Things Co.,134.44,374
10281,44,100.0,9,7020.64,2004-08-19,Shipped,3,8,2004,Usa,Classic Cars,Diecast Classics Inc.,159.56,449
10291,30,100.0,4,3855.9,2004-09-08,Shipped,3,9,2004,Sweden,Classic Cars,Scandinavian Gift Ideas,128.53,493
10305,38,100.0,13,6680.78,2004-10-13,Shipped,4,10,2004,Usa,Classic Cars,Marta'S Replicas Co.,175.81,502
10313,40,100.0,7,6678.0,2004-10-22,Shipped,4,10,2004,Canada,Classic Cars,Canadian Gift Exchange Network,166.95,348
10322,46,61.99,8,2851.54,2004-11-04,Shipped,4,11,2004,Usa,Classic Cars,Online Diecast Creations Co.,61.99,512
10334,26,100.0,2,3188.12,2004-11-19,On Hold,4,11,2004,Sweden,Classic Cars,"Volvo Model Replicas, Co",122.61999999999999,217
10347,27,100.0,2,4428.0,2004-11-29,Shipped,4,11,2004,Australia,Classic Cars,"Australian Collectors, Co.",164.0,418
10357,43,100.0,9,5780.92,2004-12-10,Shipped,4,12,2004,Usa,Classic Cars,Mini Gifts Distributors Ltd.,134.44,391
10370,35,65.63,4,2297.05,2005-01-20,Shipped,1,1,2005,Australia,Classic Cars,"Anna'S Decorations, Ltd",65.63000000000001,256
10381,37,100.0,6,6231.54,2005-02-17,Shipped,1,2,2005,Usa,Classic Cars,Corporate Gift Ideas Co.,168.42,317
10391,37,46.9,7,1735.3,2005-03-09,Shipped,1,3,2005,Australia,Classic Cars,"Anna'S Decorations, Ltd",46.9,339
10411,27,100.0,2,4427.73,2005-05-01,Shipped,2,5,2005,Canada,Classic Cars,Quebec Home Shopping Network,163.98999999999998,285
10425,38,100.0,12,5894.94,2005-05-31,In Process,2,5,2005,France,Classic Cars,La Rochelle Gifts,155.13,427
10108,33,100.0,6,5265.15,2003-03-03,Shipped,1,3,2003,Philippines,Classic Cars,Cruz & Sons Co.,159.54999999999998,561
10122,42,100.0,10,7599.9,2003-05-08,Shipped,2,5,2003,France,Classic Cars,Marseille Mini Autos,180.95,545
10135,42,100.0,7,8008.56,2003-07-02,Shipped,3,7,2003,Usa,Classic Cars,Mini Gifts Distributors Ltd.,190.68,607
10147,48,100.0,7,9245.76,2003-09-05,Shipped,3,9,2003,Usa,Classic Cars,Collectables For Less Inc.,192.62,341
10159,41,100.0,2,8296.35,2003-10-10,Shipped,4,10,2003,Usa,Classic Cars,Corporate Gift Ideas Co.,202.35000000000002,585
10169,30,100.0,2,5019.9,2003-11-04,Shipped,4,11,2003,Australia,Classic Cars,"Anna'S Decorations, Ltd",167.32999999999998,444
10181,27,100.0,14,5411.07,2003-11-12,Shipped,4,11,2003,Norway,Classic Cars,Herkku Gifts,200.41,522
10191,21,100.0,3,3840.9,2003-11-20,Shipped,4,11,2003,Germany,Classic Cars,"Toms Spezialitten, Ltd",182.9,317
10203,20,100.0,8,3930.4,2003-12-02,Shipped,4,12,2003,Spain,Classic Cars,Euro Shopping Channel,196.52,391
10211,41,100.0,2,7498.9,2004-01-15,Shipped,1,1,2004,France,Classic Cars,Auto Canal Petit,182.89999999999998,530
10225,27,100.0,9,4517.91,2004-02-22,Shipped,1,2,2004,Switzerland,Classic Cars,"Vida Sport, Ltd",167.32999999999998,483
10238,28,100.0,3,5774.72,2004-04-09,Shipped,2,4,2004,Denmark,Classic Cars,Danish Wholesale Imports,206.24,280
10253,24,100.0,13,3922.56,2004-06-01,Cancelled,2,6,2004,Uk,Classic Cars,"Uk Collectables, Ltd.",163.44,429
10266,44,100.0,14,9160.36,2004-07-06,Shipped,3,7,2004,Italy,Classic Cars,L'Ordine Souveniers,208.19000000000003,495
10276,50,100.0,3,9631.0,2004-08-02,Shipped,3,8,2004,Usa,Classic Cars,Online Mini Collectables,192.62,527
10287,21,100.0,12,3432.24,2004-08-30,Shipped,3,8,2004,Switzerland,Classic Cars,"Vida Sport, Ltd",163.44,595
10300,33,100.0,5,5521.89,2003-10-04,Shipped,4,10,2003,Germany,Classic Cars,"Blauer See Auto, Co.",167.33,251
10310,33,100.0,10,6934.62,2004-10-16,Shipped,4,10,2004,Germany,Classic Cars,"Toms Spezialitten, Ltd",210.14,619
10320,31,100.0,3,6876.11,2004-11-03,Shipped,4,11,2004,Sweden,Classic Cars,"Volvo Model Replicas, Co",221.81,155
10329,41,71.47,5,2930.27,2004-11-15,Shipped,4,11,2004,Usa,Classic Cars,Land Of Toys Inc.,71.47,532
10341,45,79.65,2,3584.25,2004-11-24,Shipped,4,11,2004,Austria,Classic Cars,Salzburg Collectables,79.65,411
10363,33,85.39,3,2817.87,2005-01-06,Shipped,1,1,2005,Finland,Classic Cars,Suominen Souveniers,85.39,508
10375,45,76.0,7,3420.0,2005-02-03,Shipped,1,2,2005,France,Classic Cars,La Rochelle Gifts,76.0,560
10389,26,99.04,4,2575.04,2005-03-03,Shipped,1,3,2005,Sweden,Classic Cars,Scandinavian Gift Ideas,99.03999999999999,316
10419,12,100.0,13,1961.28,2005-05-17,Shipped,2,5,2005,Austria,Classic Cars,Salzburg Collectables,163.44,509
10105,41,100.0,15,8690.36,2003-02-11,Shipped,1,2,2003,Denmark,Classic Cars,Danish Wholesale Imports,211.96,545
10117,33,100.0,9,6034.38,2003-04-16,Shipped,2,4,2003,Singapore,Classic Cars,"Dragon Souveniers, Ltd.",182.86,402
10127,46,100.0,2,11279.2,2003-06-03,Shipped,2,6,2003,Usa,Classic Cars,Muscle Machine Inc,245.20000000000002,540
10142,33,100.0,12,8023.29,2003-08-08,Shipped,3,8,2003,Usa,Classic Cars,Mini Gifts Distributors Ltd.,243.13,577
10153,20,100.0,11,4904.0,2003-09-28,Shipped,3,9,2003,Spain,Classic Cars,Euro Shopping Channel,245.2,458
10165,44,100.0,3,8594.52,2003-10-22,Shipped,4,10,2003,Singapore,Classic Cars,"Dragon Souveniers, Ltd.",195.33,670
10176,33,100.0,2,7474.5,2003-11-06,Shipped,4,11,2003,Italy,Classic Cars,L'Ordine Souveniers,226.5,325
10185,21,100.0,13,3883.74,2003-11-14,Shipped,4,11,2003,Usa,Classic Cars,Mini Creations Ltd.,184.94,520
10196,47,100.0,5,8887.7,2003-11-26,Shipped,4,11,2003,Usa,Classic Cars,Super Scale Inc.,189.10000000000002,316
10208,46,100.0,13,8602.92,2004-01-02,Shipped,1,1,2004,France,Classic Cars,"Saveley & Henriot, Co.",187.02,530
10220,32,100.0,2,7181.44,2004-02-12,Shipped,1,2,2004,Ireland,Classic Cars,"Clover Collections, Co.",224.42,289
10231,42,100.0,2,8378.58,2004-03-19,Shipped,1,3,2004,Spain,Classic Cars,Caf Imports,199.49,91
10247,44,100.0,2,10606.2,2004-05-05,Shipped,2,5,2004,Finland,Classic Cars,Suominen Souveniers,241.05,233
10272,35,100.0,2,5818.4,2004-07-20,Shipped,3,7,2004,Usa,Classic Cars,Diecast Classics Inc.,166.23999999999998,214
10282,41,100.0,5,7071.27,2004-08-20,Shipped,3,8,2004,Usa,Classic Cars,Mini Gifts Distributors Ltd.,172.47,447
10293,46,100.0,8,8411.56,2004-09-09,Shipped,3,9,2004,Italy,Classic Cars,Amica Models & Co.,182.85999999999999,292
10306,31,100.0,13,6570.76,2004-10-14,Shipped,4,10,2004,Uk,Classic Cars,"Av Stores, Co.",211.96,587
10314,38,100.0,5,7975.44,2004-10-22,Shipped,4,10,2004,Denmark,Classic Cars,Heintze Collectables,209.88,524
10325,42,64.0,8,2688.0,2004-11-05,Shipped,4,11,2004,Norway,Classic Cars,Baane Mini Imports,64.0,329
10336,33,57.22,10,1888.26,2004-11-20,Shipped,4,11,2004,France,Classic Cars,"La Corne D'Abondance, Co.",57.22,447
10348,48,52.36,8,2513.28,2004-11-01,Shipped,4,11,2004,Spain,Classic Cars,"Corrida Auto Replicas, Ltd",52.36000000000001,305
10359,42,100.0,8,4764.48,2004-12-15,Shipped,4,12,2004,France,Classic Cars,Reims Collectables,113.43999999999998,290
10371,32,100.0,6,3560.64,2005-01-23,Shipped,1,1,2005,Usa,Classic Cars,Mini Gifts Distributors Ltd.,111.27,382
